"2023-03-30T06:24:26.582Z","SYS","Session logging started.",""
"2023-03-30T06:24:26.584Z","EVSE","Session Started: EVConnected",""
"2023-03-30T06:24:26.586Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T06:24:26.847Z","EVSE","SLAC MATCHING",""
"2023-03-30T06:24:27.072Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-03-30T06:24:27.223Z","EVSE","EIM Authorization received",""
"2023-03-30T06:24:27.223Z","EVSE","Transaction Started (305.513 kWh)",""
"2023-03-30T06:24:27.224Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-03-30T06:24:27.274Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-03-30T06:24:27.399Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T06:24:28.186Z","EVSE","SLAC MATCHED",""
"2023-03-30T06:24:29.707Z","CAR","V2G SupportedAppProtocolReq",""
"2023-03-30T06:24:29.718Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-03-30T06:24:29.769Z","CAR","V2G SessionSetupReq",""
"2023-03-30T06:24:29.902Z","EVSE","V2G SessionSetupRes",""
"2023-03-30T06:24:29.923Z","CAR","V2G ServiceDiscoveryReq",""
"2023-03-30T06:24:30.015Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-03-30T06:24:30.107Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-03-30T06:24:30.168Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-03-30T06:24:30.355Z","CAR","V2G ContractAuthenticationReq",""
"2023-03-30T06:24:30.357Z","EVSE","V2G ContractAuthenticationRes",""
"2023-03-30T06:24:30.895Z","CAR","V2G ContractAuthenticationReq",""
"2023-03-30T06:24:30.997Z","EVSE","V2G ContractAuthenticationRes",""
"2023-03-30T06:24:31.162Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-03-30T06:24:31.193Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-03-30T06:24:31.511Z","EVSE","Start cable check...",""
"2023-03-30T06:24:31.512Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-03-30T06:24:31.543Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:24:31.605Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:24:31.687Z","EVSE","DC power supply: switch ON called",""
"2023-03-30T06:24:31.871Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:24:31.973Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:24:32.261Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:24:32.344Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:24:32.629Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:24:32.721Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:24:32.792Z","CAR","Event CarRequestedPower",""
"2023-03-30T06:24:32.946Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:24:33.047Z","EVSE","V2G CableCheckRes",""
