"2023-03-30T06:29:19.281Z","SYS","Session logging started.",""
"2023-03-30T06:29:19.282Z","EVSE","Session Started: EVConnected",""
"2023-03-30T06:29:19.283Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T06:29:19.527Z","EVSE","SLAC MATCHING",""
"2023-03-30T06:29:20.875Z","EVSE","SLAC MATCHED",""
"2023-03-30T06:29:21.410Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-03-30T06:29:21.560Z","EVSE","EIM Authorization received",""
"2023-03-30T06:29:21.561Z","EVSE","Transaction Started (305.757 kWh)",""
"2023-03-30T06:29:21.563Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-03-30T06:29:21.613Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-03-30T06:29:21.751Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T06:29:22.300Z","CAR","V2G SupportedAppProtocolReq",""
"2023-03-30T06:29:22.302Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-03-30T06:29:22.340Z","CAR","V2G SessionSetupReq",""
"2023-03-30T06:29:22.411Z","EVSE","V2G SessionSetupRes",""
"2023-03-30T06:29:22.473Z","CAR","V2G ServiceDiscoveryReq",""
"2023-03-30T06:29:22.564Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-03-30T06:29:22.646Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-03-30T06:29:22.727Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-03-30T06:29:23.047Z","CAR","V2G AuthorizationReq",""
"2023-03-30T06:29:23.052Z","EVSE","V2G AuthorizationRes",""
"2023-03-30T06:29:23.455Z","CAR","V2G AuthorizationReq",""
"2023-03-30T06:29:23.548Z","EVSE","V2G AuthorizationRes",""
"2023-03-30T06:29:23.827Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-03-30T06:29:23.849Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-03-30T06:29:24.095Z","EVSE","Start cable check...",""
"2023-03-30T06:29:24.095Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-03-30T06:29:24.119Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:24.191Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:24.284Z","EVSE","DC power supply: switch ON called",""
"2023-03-30T06:29:24.448Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:24.550Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:24.847Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:24.949Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:25.175Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:25.268Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:25.440Z","CAR","Event CarRequestedPower",""
"2023-03-30T06:29:25.554Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:25.626Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:25.696Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-03-30T06:29:25.890Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:26.003Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:26.269Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:26.350Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:26.614Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:26.696Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-03-30T06:29:26.696Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-03-30T06:29:26.719Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:27.012Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:27.053Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-03-30T06:29:27.086Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:27.325Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:27.480Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:27.695Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:27.786Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:28.052Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:28.176Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:28.413Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:28.514Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:28.802Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:28.864Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:29.171Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:29.223Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:29.497Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:29.622Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:29.858Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:29.950Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:30.236Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:30.318Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:30.572Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:30.674Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:30.974Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:31.038Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:31.304Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:31.428Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:31.652Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:31.754Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:32.041Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:32.114Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:32.371Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:32.474Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:32.762Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:32.833Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:33.109Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:33.222Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:33.447Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:33.601Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:33.815Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:33.922Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:34.177Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:34.269Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:34.534Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:34.626Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:34.896Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:35.030Z","EVSE","V2G CableCheckRes",""
"2023-03-30T06:29:35.255Z","CAR","V2G CableCheckReq",""
"2023-03-30T06:29:35.390Z","EVSE","V2G CableCheckRes",""
