"2023-04-18T15:30:40.007Z","SYS","Session logging started.",""
"2023-04-18T15:30:40.008Z","EVSE","Session Started: EVConnected",""
"2023-04-18T15:30:41.010Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:30:42.137Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-18T15:30:42.337Z","EVSE","EIM Authorization received",""
"2023-04-18T15:30:42.338Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-18T15:30:42.340Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-18T15:30:42.391Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-18T15:30:42.519Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:30:51.999Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-18T15:30:52.001Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-18T15:30:52.039Z","CAR","V2G SessionSetupReq",""
"2023-04-18T15:30:52.131Z","EVSE","V2G SessionSetupRes",""
"2023-04-18T15:30:52.192Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-18T15:30:52.327Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-18T15:30:52.329Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-18T15:30:52.430Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-18T15:30:52.608Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-18T15:30:52.616Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-18T15:30:52.639Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-18T15:30:52.774Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-18T15:30:53.844Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-18T15:30:53.905Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-18T15:30:54.120Z","CAR","Event CarRequestedPower",""
"2023-04-18T15:30:54.142Z","EVSE","Event PowerOn",""
"2023-04-18T15:30:54.515Z","EVSE","Start cable check...",""
"2023-04-18T15:30:54.516Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-18T15:30:54.526Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:30:54.631Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:30:54.652Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:30:54.674Z","EVSE","DC power supply: switch ON called",""
"2023-04-18T15:30:54.757Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:30:54.808Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:30:54.906Z","EVSE","V2G CableCheckRes",""
