"2023-04-18T15:31:50.526Z","SYS","Session logging started.",""
"2023-04-18T15:31:50.526Z","EVSE","Session Started: EVConnected",""
"2023-04-18T15:31:51.529Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:31:52.612Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-18T15:31:52.712Z","EVSE","EIM Authorization received",""
"2023-04-18T15:31:52.713Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-18T15:31:52.715Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-18T15:31:52.765Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-18T15:31:52.905Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:32:06.742Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-18T15:32:06.744Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-18T15:32:06.765Z","CAR","V2G SessionSetupReq",""
"2023-04-18T15:32:06.846Z","EVSE","V2G SessionSetupRes",""
"2023-04-18T15:32:06.919Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-18T15:32:07.014Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-18T15:32:07.099Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-18T15:32:07.183Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-18T15:32:07.344Z","CAR","V2G AuthorizationReq",""
"2023-04-18T15:32:07.353Z","EVSE","V2G AuthorizationRes",""
"2023-04-18T15:32:07.364Z","CAR","V2G AuthorizationReq",""
"2023-04-18T15:32:07.498Z","EVSE","V2G AuthorizationRes",""
"2023-04-18T15:32:08.290Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-18T15:32:08.392Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-18T15:32:08.674Z","CAR","Event CarRequestedPower",""
"2023-04-18T15:32:08.695Z","EVSE","Event PowerOn",""
"2023-04-18T15:32:09.008Z","EVSE","Start cable check...",""
"2023-04-18T15:32:09.009Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-18T15:32:09.041Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:09.105Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:09.116Z","EVSE","DC power supply: switch ON called",""
"2023-04-18T15:32:09.173Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:09.289Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:09.340Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:09.434Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:09.497Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:09.607Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:09.680Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:09.804Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:09.825Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:09.929Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:09.982Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:10.127Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:10.147Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:10.261Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:10.334Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:10.366Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:10.367Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-18T15:32:10.449Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:10.450Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-18T15:32:10.470Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:10.615Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:10.678Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:10.752Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:10.814Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:32:10.917Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:32:11.374Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:12.384Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:13.160Z","EVSE","DC power supply set: 414.20001220703125V/0.10000000149011612A, requested was 414.20001220703125V/0.10000000149011612A.",""
"2023-04-18T15:32:13.266Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:32:13.268Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:32:13.338Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:32:13.381Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:13.454Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:32:13.527Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:32:13.621Z","EVSE","Change HLC Limits: 10000W/24.142925A, target_voltage 414.2, hack_bpt false",""
"2023-04-18T15:32:13.641Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:32:13.707Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:32:13.800Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:32:13.851Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:32:13.955Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:32:14.380Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:14.651Z","CAR","V2G PowerDeliveryReq",""
"2023-04-18T15:32:14.713Z","EVSE","V2G PowerDeliveryRes",""
"2023-04-18T15:32:15.321Z","EVSE","DC power supply set: 434.20001220703125V/23A, requested was 434.20001220703125V/23A.",""
"2023-04-18T15:32:15.336Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-18T15:32:15.377Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:15.424Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:15.426Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:15.491Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:15.587Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:15.723Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:15.797Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:15.975Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:16.058Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:16.172Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:16.300Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:16.374Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:16.396Z","EVSE","Change HLC Limits: 10000W/23.03086A, target_voltage 434.2, hack_bpt false",""
"2023-04-18T15:32:16.427Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:16.510Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:16.668Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:16.721Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:16.846Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:16.928Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:17.053Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:17.178Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:17.292Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:17.374Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:32:17.396Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:17.566Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:17.629Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:17.774Z","CAR","V2G CurrentDemandReq",""
"2023-04-18T15:32:17.881Z","EVSE","V2G CurrentDemandRes",""
"2023-04-18T15:32:17.954Z","CAR","V2G CurrentDemandReq",""
