"2023-04-07T12:58:32.824Z","SYS","Session logging started.",""
"2023-04-07T12:58:32.825Z","EVSE","Session Started: EVConnected",""
"2023-04-07T12:58:33.827Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-07T12:58:34.287Z","EVSE","SLAC MATCHING",""
"2023-04-07T12:58:34.290Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-07T12:58:34.441Z","EVSE","EIM Authorization received",""
"2023-04-07T12:58:34.441Z","EVSE","Transaction Started (545.642 kWh)",""
"2023-04-07T12:58:34.442Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-07T12:58:34.493Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-07T12:58:34.630Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-07T12:58:35.707Z","EVSE","SLAC MATCHED",""
"2023-04-07T12:58:40.296Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-07T12:58:40.306Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-07T12:58:40.380Z","CAR","V2G SessionSetupReq",""
"2023-04-07T12:58:40.485Z","EVSE","V2G SessionSetupRes",""
"2023-04-07T12:58:40.699Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-07T12:58:40.803Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-07T12:58:41.076Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-07T12:58:41.151Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-07T12:58:41.603Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-07T12:58:41.605Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-07T12:58:41.623Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-07T12:58:41.726Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-07T12:58:42.007Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-07T12:58:42.069Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-07T12:58:42.758Z","EVSE","Start cable check...",""
"2023-04-07T12:58:42.758Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-07T12:58:42.789Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:42.832Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:42.904Z","EVSE","DC power supply: switch ON called",""
"2023-04-07T12:58:42.925Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:43.018Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:43.090Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:43.195Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:43.281Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:43.377Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:43.490Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:43.553Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:43.681Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:43.774Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:43.816Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:43.930Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:43.992Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:44.033Z","CAR","Event CarRequestedPower",""
"2023-04-07T12:58:44.085Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:44.178Z","CAR","V2G CableCheckReq",""
"2023-04-07T12:58:44.292Z","EVSE","V2G CableCheckRes",""
"2023-04-07T12:58:44.313Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T12:58:44.355Z","CAR","V2G CableCheckReq",""
