"2023-04-07T13:01:58.696Z","SYS","Session logging started.",""
"2023-04-07T13:01:58.696Z","EVSE","Session Started: EVConnected",""
"2023-04-07T13:01:59.698Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-07T13:02:00.016Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-07T13:02:00.141Z","EVSE","SLAC MATCHING",""
"2023-04-07T13:02:00.167Z","EVSE","EIM Authorization received",""
"2023-04-07T13:02:00.168Z","EVSE","Transaction Started (545.665 kWh)",""
"2023-04-07T13:02:00.169Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-07T13:02:00.221Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-07T13:02:00.359Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-07T13:02:01.600Z","EVSE","SLAC MATCHED",""
"2023-04-07T13:02:06.210Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-07T13:02:06.220Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-07T13:02:06.292Z","CAR","V2G SessionSetupReq",""
"2023-04-07T13:02:06.364Z","EVSE","V2G SessionSetupRes",""
"2023-04-07T13:02:06.716Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-07T13:02:06.812Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-07T13:02:07.078Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-07T13:02:07.150Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-07T13:02:07.540Z","CAR","V2G AuthorizationReq",""
"2023-04-07T13:02:07.559Z","EVSE","V2G AuthorizationRes",""
"2023-04-07T13:02:07.631Z","CAR","V2G AuthorizationReq",""
"2023-04-07T13:02:07.722Z","EVSE","V2G AuthorizationRes",""
"2023-04-07T13:02:07.991Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-07T13:02:08.126Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-07T13:02:09.026Z","EVSE","Start cable check...",""
"2023-04-07T13:02:09.027Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-07T13:02:09.057Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:09.161Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:09.223Z","EVSE","DC power supply: switch ON called",""
"2023-04-07T13:02:09.399Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:09.482Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:09.728Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:09.822Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:10.080Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:10.183Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:10.345Z","CAR","Event CarRequestedPower",""
"2023-04-07T13:02:10.442Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:10.545Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:10.648Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T13:02:10.793Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:10.896Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:11.131Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:11.223Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:11.479Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:11.581Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:11.694Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T13:02:11.694Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-07T13:02:11.842Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:11.935Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:12.037Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-07T13:02:12.204Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:12.276Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:12.532Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:12.624Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:12.902Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:13.016Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:13.264Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:13.325Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:13.580Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:13.672Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:13.950Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:14.031Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:14.278Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:14.391Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:14.637Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:14.729Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:14.977Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:15.069Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:15.325Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:15.463Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:15.723Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:15.798Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:16.034Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:16.126Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:16.381Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:16.483Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:16.742Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:16.879Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:17.128Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:17.170Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:17.425Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:17.528Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:17.786Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:17.919Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:18.156Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:18.259Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:18.474Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:18.577Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:18.874Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:18.925Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:19.181Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:19.308Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:19.532Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:19.666Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:19.922Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:19.984Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:20.229Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:20.322Z","EVSE","V2G CableCheckRes",""
"2023-04-07T13:02:20.590Z","CAR","V2G CableCheckReq",""
"2023-04-07T13:02:20.714Z","EVSE","V2G CableCheckRes",""
