"2023-04-25T07:25:45.288Z","SYS","Session logging started.",""
"2023-04-25T07:25:45.288Z","EVSE","Session Started: EVConnected",""
"2023-04-25T07:25:46.290Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-25T07:25:47.127Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-25T07:25:47.278Z","EVSE","EIM Authorization received",""
"2023-04-25T07:25:47.278Z","EVSE","Transaction Started (549.855 kWh)",""
"2023-04-25T07:25:47.279Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-25T07:25:47.330Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-25T07:25:47.447Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-25T07:25:52.841Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-25T07:25:52.851Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-25T07:25:52.923Z","CAR","V2G SessionSetupReq",""
"2023-04-25T07:25:52.996Z","EVSE","V2G SessionSetupRes",""
"2023-04-25T07:25:53.343Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-25T07:25:53.468Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-25T07:25:53.711Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-25T07:25:53.784Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-25T07:25:54.176Z","CAR","V2G AuthorizationReq",""
"2023-04-25T07:25:54.196Z","EVSE","V2G AuthorizationRes",""
"2023-04-25T07:25:54.258Z","CAR","V2G AuthorizationReq",""
"2023-04-25T07:25:54.350Z","EVSE","V2G AuthorizationRes",""
"2023-04-25T07:25:54.638Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-25T07:25:54.751Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-25T07:25:55.358Z","EVSE","Start cable check...",""
"2023-04-25T07:25:55.359Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-25T07:25:55.391Z","CAR","V2G CableCheckReq",""
"2023-04-25T07:25:55.465Z","EVSE","V2G CableCheckRes",""
