"2023-04-25T07:33:01.338Z","SYS","Session logging started.",""
"2023-04-25T07:33:01.340Z","EVSE","Session Started: EVConnected",""
"2023-04-25T07:33:02.342Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-25T07:33:02.451Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-25T07:33:02.630Z","EVSE","EIM Authorization received",""
"2023-04-25T07:33:02.631Z","EVSE","Transaction Started (550.253 kWh)",""
"2023-04-25T07:33:02.633Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-25T07:33:02.684Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-25T07:33:02.823Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-25T07:33:08.943Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-25T07:33:08.946Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-25T07:33:09.006Z","CAR","V2G SessionSetupReq",""
"2023-04-25T07:33:09.091Z","EVSE","V2G SessionSetupRes",""
"2023-04-25T07:33:09.351Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-25T07:33:09.485Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-25T07:33:09.700Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-25T07:33:09.803Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-25T07:33:10.164Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-25T07:33:10.183Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-25T07:33:10.225Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-25T07:33:10.330Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-25T07:33:10.642Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-25T07:33:10.705Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-25T07:33:11.660Z","EVSE","Start cable check...",""
"2023-04-25T07:33:11.661Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-25T07:33:11.691Z","CAR","V2G CableCheckReq",""
