"2023-04-12T08:52:22.344Z","SYS","Session logging started.",""
"2023-04-12T08:52:22.345Z","EVSE","Session Started: EVConnected",""
"2023-04-12T08:52:23.347Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-12T08:52:23.426Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-12T08:52:23.627Z","EVSE","EIM Authorization received",""
"2023-04-12T08:52:23.627Z","EVSE","Transaction Started (548.318 kWh)",""
"2023-04-12T08:52:23.629Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-12T08:52:23.679Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-12T08:52:23.777Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-12T08:52:27.319Z","EVSE","SLAC MATCHING",""
"2023-04-12T08:52:28.351Z","EVSE","SLAC MATCHED",""
"2023-04-12T08:52:31.195Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-12T08:52:31.205Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-12T08:52:31.226Z","CAR","V2G SessionSetupReq",""
"2023-04-12T08:52:31.299Z","EVSE","V2G SessionSetupRes",""
"2023-04-12T08:52:31.320Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-12T08:52:31.412Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-12T08:52:31.433Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-12T08:52:31.559Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-12T08:52:31.709Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-12T08:52:31.711Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-12T08:52:32.682Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-12T08:52:32.755Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-12T08:52:32.821Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-12T08:52:32.905Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-12T08:52:35.690Z","EVSE","Start cable check...",""
"2023-04-12T08:52:35.691Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-12T08:52:35.711Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:35.775Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:35.857Z","EVSE","DC power supply: switch ON called",""
"2023-04-12T08:52:36.732Z","CAR","Event CarRequestedPower",""
"2023-04-12T08:52:36.806Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:36.911Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:37.288Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-12T08:52:37.920Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:38.057Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:38.318Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-12T08:52:39.035Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:39.128Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:39.292Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-12T08:52:39.293Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-12T08:52:39.658Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-12T08:52:40.150Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:40.243Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:41.267Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:41.369Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:42.388Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:42.490Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:43.534Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:43.661Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:44.642Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:44.724Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:45.762Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:45.857Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:46.872Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:46.966Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:47.993Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:48.086Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:49.118Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:49.201Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:50.237Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:50.372Z","EVSE","V2G CableCheckRes",""
"2023-04-12T08:52:51.360Z","CAR","V2G CableCheckReq",""
"2023-04-12T08:52:51.486Z","EVSE","V2G CableCheckRes",""
