"2023-04-14T14:26:45.453Z","SYS","Session logging started.",""
"2023-04-14T14:26:45.453Z","EVSE","Session Started: EVConnected",""
"2023-04-14T14:26:46.456Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T14:26:46.575Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T14:26:46.675Z","EVSE","EIM Authorization received",""
"2023-04-14T14:26:46.676Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T14:26:46.677Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T14:26:46.728Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T14:26:46.846Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T14:27:04.341Z","CAR","V2G SupportedAppProtocolReq","{
    "supportedAppProtocolReq": {
        "AppProtocol": [
            {
                "Priority": 1,
                "ProtocolNamespace": "urn:din:70121:2012:MsgDef",
                "SchemaID": 1,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            },
            {
                "Priority": 2,
                "ProtocolNamespace": "urn:iso:15118:2:2013:MsgDef",
                "SchemaID": 0,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            }
        ]
    }
}"
"2023-04-14T14:27:04.432Z","EVSE","V2G SupportedAppProtocolRes","{
    "supportedAppProtocolRes": {
        "ResponseCode": "OK_SuccessfulNegotiation",
        "SchemaID": 0
    }
}"
"2023-04-14T14:27:04.904Z","CAR","V2G SessionSetupReq","{
    "V2G_Message": {
        "Body": {
            "SessionSetupReq": {
                "EVCCID": "A453EE0108FD"
            }
        },
        "Header": {
            "SessionID": "6F2DDFD326470BF4"
        }
    }
}"
"2023-04-14T14:27:05.243Z","EVSE","V2G SessionSetupRes","{
    "V2G_Message": {
        "Body": {
            "SessionSetupRes": {
                "EVSEID": "DE*PNX*E12345*1",
                "EVSETimeStamp": 1681482424,
                "ResponseCode": "OK_NewSessionEstablished"
            }
        },
        "Header": {
            "SessionID": "D2DDF862F1C685B9"
        }
    }
}"
"2023-04-14T14:27:05.509Z","CAR","V2G ServiceDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryReq": {}
        },
        "Header": {
            "SessionID": "D2DDF862F1C685B9"
        }
    }
}"
"2023-04-14T14:27:05.806Z","EVSE","V2G ServiceDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryRes": {
                "ChargeService": {
                    "FreeService": false,
                    "ServiceCategory": "EVCharging",
                    "ServiceID": 1,
                    "ServiceName": "AC_DC_Charging",
                    "SupportedEnergyTransferMode": {
                        "EnergyTransferMode": [
                            "DC_extended"
                        ]
                    }
                },
                "PaymentOptionList": {
                    "PaymentOption": [
                        "ExternalPayment"
                    ]
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "D2DDF862F1C685B9"
        }
    }
}"
"2023-04-14T14:27:06.021Z","CAR","V2G PaymentServiceSelectionReq","{
    "V2G_Message": {
        "Body": {
