"2023-04-04T11:30:54.758Z","SYS","Session logging started.",""
"2023-04-04T11:30:54.758Z","EVSE","Session Started: EVConnected",""
"2023-04-04T11:30:55.761Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-04T11:30:55.853Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-04T11:30:56.002Z","EVSE","EIM Authorization received",""
"2023-04-04T11:30:56.003Z","EVSE","Transaction Started (455.182 kWh)",""
"2023-04-04T11:30:56.004Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-04T11:30:56.054Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-04T11:30:56.190Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-04T11:30:59.255Z","EVSE","SLAC MATCHING",""
"2023-04-04T11:31:00.226Z","EVSE","SLAC MATCHED",""
"2023-04-04T11:31:00.883Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-04T11:31:00.893Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-04T11:31:00.914Z","CAR","V2G SessionSetupReq",""
"2023-04-04T11:31:00.976Z","EVSE","V2G SessionSetupRes",""
"2023-04-04T11:31:00.997Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-04T11:31:01.089Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-04T11:31:01.110Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-04T11:31:01.202Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-04T11:31:01.358Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-04T11:31:01.368Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-04T11:31:01.840Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-04T11:31:01.974Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-04T11:31:02.069Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-04T11:31:02.089Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-04T11:31:02.333Z","EVSE","Start cable check...",""
"2023-04-04T11:31:02.334Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-04T11:31:02.365Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:02.488Z","EVSE","DC power supply: switch ON called",""
"2023-04-04T11:31:02.489Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:02.664Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:02.828Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:02.983Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:03.085Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:03.362Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:03.403Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:03.463Z","CAR","Event CarRequestedPower",""
"2023-04-04T11:31:03.640Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:03.721Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:03.863Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T11:31:03.946Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:04.049Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:04.266Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:04.399Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:04.614Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:04.686Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:04.868Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T11:31:04.868Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-04T11:31:04.942Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:05.014Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:05.228Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:05.320Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-04T11:31:05.332Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:05.571Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:05.684Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:05.867Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:05.970Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:06.194Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:06.285Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:06.511Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:06.613Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:06.882Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:06.934Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:07.158Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:07.250Z","EVSE","V2G CableCheckRes",""
"2023-04-04T11:31:07.478Z","CAR","V2G CableCheckReq",""
"2023-04-04T11:31:07.603Z","EVSE","V2G CableCheckRes",""
