"2023-04-04T12:37:00.049Z","SYS","Session logging started.",""
"2023-04-04T12:37:00.050Z","EVSE","Session Started: EVConnected",""
"2023-04-04T12:37:01.052Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-04T12:37:01.954Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-04T12:37:02.104Z","EVSE","EIM Authorization received",""
"2023-04-04T12:37:02.105Z","EVSE","Transaction Started (459.561 kWh)",""
"2023-04-04T12:37:02.106Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-04T12:37:02.156Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-04T12:37:02.298Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-04T12:37:04.315Z","EVSE","SLAC MATCHING",""
"2023-04-04T12:37:05.271Z","EVSE","SLAC MATCHED",""
"2023-04-04T12:37:05.867Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-04T12:37:05.878Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-04T12:37:05.909Z","CAR","V2G SessionSetupReq",""
"2023-04-04T12:37:05.992Z","EVSE","V2G SessionSetupRes",""
"2023-04-04T12:37:05.997Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-04T12:37:06.065Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-04T12:37:06.109Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-04T12:37:06.232Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-04T12:37:06.410Z","CAR","V2G AuthorizationReq",""
"2023-04-04T12:37:06.412Z","EVSE","V2G AuthorizationRes",""
"2023-04-04T12:37:06.828Z","CAR","V2G AuthorizationReq",""
"2023-04-04T12:37:06.920Z","EVSE","V2G AuthorizationRes",""
"2023-04-04T12:37:06.984Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-04T12:37:07.068Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-04T12:37:07.358Z","EVSE","Start cable check...",""
"2023-04-04T12:37:07.359Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-04T12:37:07.390Z","CAR","V2G CableCheckReq",""
"2023-04-04T12:37:07.494Z","EVSE","V2G CableCheckRes",""
