"2023-04-06T06:38:18.655Z","SYS","Session logging started.",""
"2023-04-06T06:38:18.655Z","EVSE","Session Started: EVConnected",""
"2023-04-06T06:38:19.657Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-06T06:38:19.751Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-06T06:38:19.901Z","EVSE","EIM Authorization received",""
"2023-04-06T06:38:19.902Z","EVSE","Transaction Started (527.215 kWh)",""
"2023-04-06T06:38:19.904Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-06T06:38:19.955Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-06T06:38:20.090Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-06T06:38:20.750Z","EVSE","SLAC MATCHING",""
"2023-04-06T06:38:21.729Z","EVSE","SLAC MATCHED",""
"2023-04-06T06:38:27.373Z","CAR","V2G SupportedAppProtocolReq","{
    "supportedAppProtocolReq": {
        "AppProtocol": [
            {
                "Priority": 1,
                "ProtocolNamespace": "urn:din:70121:2012:MsgDef",
                "SchemaID": 1,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            },
            {
                "Priority": 2,
                "ProtocolNamespace": "urn:iso:15118:2:2013:MsgDef",
                "SchemaID": 0,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            }
        ]
    }
}"
"2023-04-06T06:38:27.464Z","EVSE","V2G SupportedAppProtocolRes","{
    "supportedAppProtocolRes": {
        "ResponseCode": "OK_SuccessfulNegotiation",
        "SchemaID": 0
    }
}"
"2023-04-06T06:38:27.943Z","CAR","V2G SessionSetupReq","{
    "V2G_Message": {
        "Body": {
            "SessionSetupReq": {
                "EVCCID": "48C58DB8DE5A"
            }
        },
        "Header": {
            "SessionID": "00"
        }
    }
}"
"2023-04-06T06:38:28.189Z","EVSE","V2G SessionSetupRes","{
    "V2G_Message": {
        "Body": {
            "SessionSetupRes": {
                "EVSEID": "DE*PNX*E12345*1",
                "EVSETimeStamp": 1680763107,
                "ResponseCode": "OK_NewSessionEstablished"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:28.485Z","CAR","V2G ServiceDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryReq": {}
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:28.761Z","EVSE","V2G ServiceDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryRes": {
                "ChargeService": {
                    "FreeService": false,
                    "ServiceCategory": "EVCharging",
                    "ServiceID": 1,
                    "ServiceName": "AC_DC_Charging",
                    "SupportedEnergyTransferMode": {
                        "EnergyTransferMode": [
                            "DC_extended"
                        ]
                    }
                },
                "PaymentOptionList": {
                    "PaymentOption": [
                        "ExternalPayment"
                    ]
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:28.994Z","CAR","V2G PaymentServiceSelectionReq","{
    "V2G_Message": {
        "Body": {
            "PaymentServiceSelectionReq": {
                "SelectedPaymentOption": "ExternalPayment",
                "SelectedServiceList": {
                    "SelectedService": [
                        {
                            "ServiceID": 1
                        }
                    ]
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:29.232Z","EVSE","V2G PaymentServiceSelectionRes","{
    "V2G_Message": {
        "Body": {
            "PaymentServiceSelectionRes": {
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:29.557Z","CAR","V2G AuthorizationReq","{
    "V2G_Message": {
        "Body": {
            "AuthorizationReq": {}
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:29.802Z","EVSE","V2G AuthorizationRes","{
    "V2G_Message": {
        "Body": {
            "AuthorizationRes": {
                "EVSEProcessing": "Ongoing_WaitingForCustomerInteraction",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:30.502Z","CAR","V2G AuthorizationReq","{
    "V2G_Message": {
        "Body": {
            "AuthorizationReq": {}
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:30.791Z","EVSE","V2G AuthorizationRes","{
    "V2G_Message": {
        "Body": {
            "AuthorizationRes": {
                "EVSEProcessing": "Finished",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:31.016Z","CAR","V2G ChargeParameterDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ChargeParameterDiscoveryReq": {
                "DC_EVChargeParameter": {
                    "BulkSOC": 80,
                    "DC_EVStatus": {
                        "EVErrorCode": "NO_ERROR",
                        "EVRESSSOC": 93,
                        "EVReady": false
                    },
                    "EVEnergyCapacity": {
                        "Multiplier": 1,
                        "Unit": "Wh",
                        "Value": 7700
                    },
                    "EVEnergyRequest": {
                        "Multiplier": 1,
                        "Unit": "Wh",
                        "Value": 510
                    },
                    "EVMaximumCurrentLimit": {
                        "Multiplier": -1,
                        "Unit": "A",
                        "Value": 3750
                    },
                    "EVMaximumVoltageLimit": {
                        "Multiplier": 0,
