"2023-04-11T09:36:33.256Z","SYS","Session logging started.",""
"2023-04-11T09:36:33.257Z","EVSE","Session Started: EVConnected",""
"2023-04-11T09:36:34.259Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:36:34.744Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-11T09:36:34.894Z","EVSE","EIM Authorization received",""
"2023-04-11T09:36:34.895Z","EVSE","Transaction Started (546.944 kWh)",""
"2023-04-11T09:36:34.897Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-11T09:36:34.948Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-11T09:36:35.091Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:36:45.138Z","EVSE","SLAC MATCHING",""
"2023-04-11T09:36:45.888Z","EVSE","SLAC MATCHED",""
"2023-04-11T09:36:49.439Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-11T09:36:49.449Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-11T09:36:49.470Z","CAR","V2G SessionSetupReq",""
"2023-04-11T09:36:49.554Z","EVSE","V2G SessionSetupRes",""
"2023-04-11T09:36:49.606Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-11T09:36:49.713Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-11T09:36:49.788Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-11T09:36:49.829Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-11T09:36:50.041Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:36:50.043Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:36:50.101Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:36:50.194Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:36:50.257Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-11T09:36:50.330Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-11T09:36:51.817Z","EVSE","Start cable check...",""
"2023-04-11T09:36:51.819Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-11T09:36:51.850Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:51.895Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:52.013Z","EVSE","DC power supply: switch ON called",""
"2023-04-11T09:36:52.035Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:52.110Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:52.213Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:52.352Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:52.426Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:52.530Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:52.646Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:52.761Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:52.864Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:52.948Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:53.071Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:53.123Z","CAR","Event CarRequestedPower",""
"2023-04-11T09:36:53.166Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:53.313Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:53.387Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:36:53.481Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:36:53.544Z","EVSE","Isolation measurement P 910000 N 900000.",""
