"2023-04-11T09:44:27.991Z","SYS","Session logging started.",""
"2023-04-11T09:44:27.991Z","EVSE","Session Started: EVConnected",""
"2023-04-11T09:44:27.993Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:44:28.607Z","EVSE","EIM Authorization received",""
"2023-04-11T09:44:28.607Z","EVSE","Transaction Started (1.4687770744785667e-06 kWh)",""
"2023-04-11T09:44:28.608Z","EVSE","AC mode, HLC enabled(ac_enforce_hlc), keeping 5 percent on until a dlink error is signalled.",""
"2023-04-11T09:44:28.658Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-11T09:44:28.779Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:44:28.839Z","CAR","Event EFtoBCD",""
"2023-04-11T09:44:39.713Z","EVSE","SLAC MATCHING",""
"2023-04-11T09:44:40.457Z","EVSE","SLAC MATCHED",""
"2023-04-11T09:44:44.012Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-11T09:44:44.022Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-11T09:44:44.065Z","CAR","V2G SessionSetupReq",""
"2023-04-11T09:44:44.127Z","EVSE","V2G SessionSetupRes",""
"2023-04-11T09:44:44.179Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-11T09:44:44.295Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-11T09:44:44.316Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-11T09:44:44.408Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-11T09:44:44.594Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:44:44.604Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:44:44.737Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:44:44.778Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:44:44.882Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-11T09:44:44.912Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-11T09:44:46.749Z","CAR","Event CarRequestedPower",""
"2023-04-11T09:44:46.750Z","EVSE","Event PowerOn",""
"2023-04-11T09:44:46.769Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-11T09:44:46.895Z","CAR","V2G PowerDeliveryReq",""
"2023-04-11T09:44:46.905Z","EVSE","V2G PowerDeliveryRes",""
"2023-04-11T09:44:46.906Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:44:49.129Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:49.231Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:49.354Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:49.435Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:49.557Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:49.670Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:49.762Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:49.854Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:49.977Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:50.069Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:50.192Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:50.305Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:50.418Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:50.499Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:50.621Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:50.713Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:50.845Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:50.957Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:51.030Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:51.121Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:51.236Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:51.342Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:51.457Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:51.550Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:51.674Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:51.757Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:51.879Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:44:51.982Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:44:52.087Z","CAR","V2G ChargingStatusReq",""
