"2023-04-11T09:46:34.483Z","SYS","Session logging started.",""
"2023-04-11T09:46:34.484Z","EVSE","Session Started: EVConnected",""
"2023-04-11T09:46:34.485Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:46:35.139Z","EVSE","EIM Authorization received",""
"2023-04-11T09:46:35.140Z","EVSE","Transaction Started (0.13819343566894532 kWh)",""
"2023-04-11T09:46:35.142Z","EVSE","AC mode, HLC enabled(ac_enforce_hlc), keeping 5 percent on until a dlink error is signalled.",""
"2023-04-11T09:46:35.193Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-11T09:46:35.315Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:46:35.325Z","CAR","Event EFtoBCD",""
"2023-04-11T09:46:46.423Z","EVSE","SLAC MATCHING",""
"2023-04-11T09:46:47.145Z","EVSE","SLAC MATCHED",""
"2023-04-11T09:46:50.738Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-11T09:46:50.749Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-11T09:46:50.770Z","CAR","V2G SessionSetupReq",""
"2023-04-11T09:46:50.822Z","EVSE","V2G SessionSetupRes",""
"2023-04-11T09:46:50.863Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-11T09:46:50.966Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-11T09:46:51.029Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-11T09:46:51.102Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-11T09:46:51.271Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:46:51.291Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:46:51.367Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:46:51.460Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:46:51.562Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-11T09:46:51.618Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-11T09:46:53.422Z","CAR","Event CarRequestedPower",""
"2023-04-11T09:46:53.424Z","EVSE","Event PowerOn",""
"2023-04-11T09:46:53.459Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-11T09:46:53.537Z","CAR","V2G PowerDeliveryReq",""
"2023-04-11T09:46:53.547Z","EVSE","V2G PowerDeliveryRes",""
"2023-04-11T09:46:53.620Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:46:55.836Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:55.929Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:56.052Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:56.145Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:56.268Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:56.392Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:56.474Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:56.598Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:56.710Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:56.782Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:56.904Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:56.995Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:57.107Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:57.209Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:57.335Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:57.426Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:57.529Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:57.662Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:57.774Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:57.885Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:57.967Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:58.099Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:58.160Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:58.261Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:58.416Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:58.477Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:58.641Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:58.691Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:58.803Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:58.904Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:59.057Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:59.128Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:59.250Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:59.351Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:59.474Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:59.586Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:59.718Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:59.820Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:46:59.881Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:46:59.984Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:00.096Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:00.197Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:00.309Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:00.412Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:00.525Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:00.649Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:00.760Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:00.831Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:00.942Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:01.075Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:01.187Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:01.258Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:01.369Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:01.460Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:01.623Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:01.684Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:01.805Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:01.897Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:02.010Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:02.122Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:02.214Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:02.326Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:02.427Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:02.528Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:02.660Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:02.732Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:02.854Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:02.944Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:03.056Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:03.168Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:03.269Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:03.412Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:03.483Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:03.617Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:03.710Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:03.801Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:03.912Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:04.004Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:04.147Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:04.218Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:04.330Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:04.420Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:04.543Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:04.666Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:04.749Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:04.851Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:04.963Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:05.055Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:05.190Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:05.282Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:05.434Z","CAR","V2G ChargingStatusReq",""
"2023-04-11T09:47:05.505Z","EVSE","V2G ChargingStatusRes",""
"2023-04-11T09:47:05.617Z","CAR","V2G ChargingStatusReq",""
