"2023-04-11T09:29:27.010Z","SYS","Session logging started.",""
"2023-04-11T09:29:27.011Z","EVSE","Session Started: EVConnected",""
"2023-04-11T09:29:28.012Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:29:29.475Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-11T09:29:29.625Z","EVSE","EIM Authorization received",""
"2023-04-11T09:29:29.626Z","EVSE","Transaction Started (546.944 kWh)",""
"2023-04-11T09:29:29.627Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-11T09:29:29.678Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-11T09:29:29.817Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-11T09:29:38.990Z","EVSE","SLAC MATCHING",""
"2023-04-11T09:29:39.738Z","EVSE","SLAC MATCHED",""
"2023-04-11T09:29:43.287Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-11T09:29:43.307Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-11T09:29:43.348Z","CAR","V2G SessionSetupReq",""
"2023-04-11T09:29:43.461Z","EVSE","V2G SessionSetupRes",""
"2023-04-11T09:29:43.463Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-11T09:29:43.564Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-11T09:29:43.626Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-11T09:29:43.698Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-11T09:29:43.874Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:29:43.894Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:29:43.998Z","CAR","V2G AuthorizationReq",""
"2023-04-11T09:29:44.069Z","EVSE","V2G AuthorizationRes",""
"2023-04-11T09:29:44.152Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-11T09:29:44.223Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-11T09:29:45.679Z","EVSE","Start cable check...",""
"2023-04-11T09:29:45.680Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-11T09:29:45.711Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:45.775Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:45.879Z","EVSE","DC power supply: switch ON called",""
"2023-04-11T09:29:45.900Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:46.003Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:46.105Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:46.197Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:46.341Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:46.412Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:46.525Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:46.649Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:46.762Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:46.906Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:46.947Z","CAR","Event CarRequestedPower",""
"2023-04-11T09:29:46.978Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:47.050Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:47.173Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:47.266Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:47.308Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-11T09:29:47.369Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:47.471Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:47.584Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:47.686Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:47.842Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:47.914Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:48.029Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:48.133Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:48.225Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:48.307Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-11T09:29:48.329Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:48.441Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:48.544Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:48.647Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:48.749Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:48.864Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:49.021Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:49.082Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:49.226Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:49.299Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:49.309Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-11T09:29:49.434Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:49.515Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:49.617Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:49.730Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:49.834Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:49.939Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:50.053Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:50.155Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:50.261Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:50.322Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-11T09:29:50.323Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-11T09:29:50.406Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:50.479Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:50.609Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:50.704Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:50.796Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-11T09:29:50.818Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:50.954Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:51.017Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:51.120Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:51.232Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:51.314Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:51.447Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:51.539Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:51.651Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:51.796Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:51.881Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:51.995Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:52.097Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:52.179Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:52.301Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:52.404Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:52.526Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:52.618Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:52.731Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:52.877Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:52.970Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:53.094Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:53.166Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:53.301Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:53.404Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:53.467Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:53.589Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:53.692Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:53.816Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:53.931Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:54.055Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:54.117Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:54.230Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:54.364Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:54.447Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:54.529Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:54.687Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:54.770Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:54.872Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:54.964Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:55.088Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:55.179Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:55.302Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:55.405Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:55.530Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:55.647Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:55.731Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:55.824Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:55.948Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:56.074Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:56.155Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:56.258Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:56.380Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:56.473Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:56.585Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:56.719Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:56.801Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:56.904Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:57.059Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:57.152Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:57.234Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:57.358Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:57.441Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:57.533Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:57.699Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:57.760Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:57.863Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:57.945Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:58.057Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:58.161Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:58.296Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:58.412Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:58.508Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:58.632Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:58.737Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:58.809Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:58.922Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:59.024Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:59.137Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:59.239Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:59.352Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:59.444Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:59.568Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:59.695Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:29:59.839Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:29:59.932Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:00.026Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:00.109Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:00.213Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:00.306Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:00.429Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:00.522Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:00.648Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:00.751Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:00.887Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:00.949Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:01.051Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:01.165Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:01.269Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:01.404Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:01.489Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:01.582Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:01.718Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:01.801Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:01.914Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:02.018Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:02.131Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:02.215Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:02.340Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:02.434Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:02.548Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:02.654Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:02.756Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:02.859Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:02.971Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:03.064Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:03.188Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:03.281Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:03.403Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:03.529Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:03.631Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:03.745Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:03.830Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:03.956Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:04.039Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:04.153Z","EVSE","V2G CableCheckRes",""
"2023-04-11T09:30:04.246Z","CAR","V2G CableCheckReq",""
"2023-04-11T09:30:04.349Z","EVSE","V2G CableCheckRes",""
