"2024-01-10T13:40:14.940Z","SYS","Session logging started.",""
"2024-01-10T13:40:14.940Z","EVSE","Session Started: EVConnected",""
"2024-01-10T13:40:16.025Z","EVSE","Set PWM On (5.000000074505806%) took 81 ms",""
"2024-01-10T13:40:16.126Z","EVSE","EIM Authorization received",""
"2024-01-10T13:40:16.127Z","EVSE","Transaction Started (0 kWh)",""
"2024-01-10T13:40:16.130Z","EVSE","AC mode, HLC enabled(ac_enforce_hlc), keeping 5 percent on until a dlink error is signalled.",""
"2024-01-10T13:40:16.131Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2024-01-10T13:40:18.696Z","EVSE","SLAC MATCHED",""
"2024-01-10T13:40:18.709Z","EVSE","D-LINK_READY (true)",""
"2024-01-10T13:40:29.897Z","CAR","V2G SupportedAppProtocolReq",""
"2024-01-10T13:40:29.918Z","EVSE","V2G SupportedAppProtocolRes",""
"2024-01-10T13:40:30.177Z","CAR","V2G SessionSetupReq",""
"2024-01-10T13:40:30.239Z","EVSE","V2G SessionSetupRes",""
"2024-01-10T13:40:30.574Z","CAR","V2G ServiceDiscoveryReq",""
"2024-01-10T13:40:30.625Z","EVSE","V2G ServiceDiscoveryRes",""
"2024-01-10T13:40:30.946Z","CAR","V2G PaymentServiceSelectionReq",""
"2024-01-10T13:40:31.008Z","EVSE","V2G PaymentServiceSelectionRes",""
"2024-01-10T13:40:31.423Z","CAR","V2G AuthorizationReq",""
"2024-01-10T13:40:31.425Z","EVSE","V2G AuthorizationRes",""
"2024-01-10T13:40:31.684Z","CAR","V2G AuthorizationReq",""
"2024-01-10T13:40:31.811Z","EVSE","V2G AuthorizationRes",""
"2024-01-10T13:40:32.122Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2024-01-10T13:40:32.165Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2024-01-10T13:40:32.539Z","CAR","Event CarRequestedPower",""
"2024-01-10T13:40:32.603Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:32.696Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:32.975Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:33.081Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:33.361Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:33.465Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:33.753Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:33.857Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:34.145Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:34.258Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:34.518Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:34.646Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:34.913Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:35.037Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:35.285Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:35.420Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:35.685Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:35.813Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:36.062Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:36.198Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:36.445Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:36.592Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:36.863Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:36.989Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:37.251Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:37.388Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:37.679Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:37.731Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:38.032Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:38.156Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:38.474Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:38.506Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:38.799Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:38.915Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:39.175Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:39.270Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:39.573Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:39.687Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:39.958Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:40.030Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:40.332Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:40.425Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:40.757Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:40.830Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:41.171Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:41.212Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:41.510Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:41.603Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:41.912Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:41.984Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:42.285Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:42.399Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:42.673Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:42.746Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:43.038Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:43.163Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:43.477Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:43.519Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:43.788Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:43.901Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:44.178Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:44.280Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:44.559Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:44.663Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:44.964Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:45.047Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:45.315Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:45.418Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:45.700Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:45.812Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:46.090Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:46.224Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:46.472Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:46.578Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:46.860Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:46.965Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:47.247Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:47.342Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:47.700Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:47.721Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:48.011Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:48.179Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:48.396Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:48.511Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:48.781Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:48.906Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:49.178Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:49.291Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:49.553Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:49.679Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:49.940Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:50.034Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:50.320Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:50.424Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:50.705Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:50.829Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:51.146Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:51.213Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:51.478Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:51.588Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:51.901Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:51.964Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:52.231Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:52.377Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:52.621Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:52.745Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:53.019Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:53.114Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:53.428Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:53.482Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:53.798Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:53.872Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:54.190Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:54.253Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:54.566Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:54.639Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:54.957Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:55.008Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:55.316Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:55.441Z","EVSE","V2G CableCheckRes",""
"2024-01-10T13:40:55.706Z","CAR","V2G CableCheckReq",""
"2024-01-10T13:40:55.778Z","EVSE","V2G CableCheckRes",""
