"2023-04-18T15:21:42.627Z","SYS","Session logging started.",""
"2023-04-18T15:21:42.627Z","EVSE","Session Started: EVConnected",""
"2023-04-18T15:21:43.630Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:21:44.288Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-18T15:21:44.438Z","EVSE","EIM Authorization received",""
"2023-04-18T15:21:44.439Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-18T15:21:44.441Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-18T15:21:44.492Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-18T15:21:44.635Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:21:48.865Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-18T15:21:48.876Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-18T15:21:48.950Z","CAR","V2G SessionSetupReq",""
"2023-04-18T15:21:49.024Z","EVSE","V2G SessionSetupRes",""
"2023-04-18T15:21:49.085Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-18T15:21:49.200Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-18T15:21:49.345Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-18T15:21:49.366Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-18T15:21:49.557Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-18T15:21:49.566Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-18T15:21:49.680Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-18T15:21:49.721Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-18T15:21:53.850Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-18T15:21:53.863Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-18T15:21:54.094Z","EVSE","Start cable check...",""
"2023-04-18T15:21:54.095Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-18T15:21:54.112Z","CAR","Event CarRequestedPower",""
"2023-04-18T15:21:54.113Z","EVSE","Event PowerOn",""
"2023-04-18T15:21:54.154Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:54.196Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:54.217Z","EVSE","DC power supply: switch ON called",""
"2023-04-18T15:21:54.279Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:54.402Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:54.469Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:54.594Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:54.656Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:54.758Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:54.846Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:54.980Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:55.031Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:55.138Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:55.222Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:55.356Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:55.431Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:55.451Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:21:55.452Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-18T15:21:55.502Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:55.600Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-18T15:21:55.608Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:55.700Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:55.865Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:55.907Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:55.971Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:21:56.117Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:21:56.159Z","EVSE","DC power supply set: 391V/1A, requested was 391V/1A.",""
"2023-04-18T15:21:56.266Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:21:56.269Z","EVSE","V2G PreChargeRes",""
