"2023-04-18T15:23:50.843Z","SYS","Session logging started.",""
"2023-04-18T15:23:50.844Z","EVSE","Session Started: EVConnected",""
"2023-04-18T15:23:51.845Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:23:52.399Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-18T15:23:52.549Z","EVSE","EIM Authorization received",""
"2023-04-18T15:23:52.550Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-18T15:23:52.551Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-18T15:23:52.602Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-18T15:23:52.813Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-18T15:23:57.036Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-18T15:23:57.038Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-18T15:23:57.139Z","CAR","V2G SessionSetupReq",""
"2023-04-18T15:23:57.211Z","EVSE","V2G SessionSetupRes",""
"2023-04-18T15:23:57.273Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-18T15:23:57.375Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-18T15:23:57.480Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-18T15:23:57.564Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-18T15:23:57.840Z","CAR","V2G AuthorizationReq",""
"2023-04-18T15:23:57.843Z","EVSE","V2G AuthorizationRes",""
"2023-04-18T15:23:57.845Z","CAR","V2G AuthorizationReq",""
"2023-04-18T15:23:57.974Z","EVSE","V2G AuthorizationRes",""
"2023-04-18T15:24:01.980Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-18T15:24:02.064Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-18T15:24:02.324Z","EVSE","Start cable check...",""
"2023-04-18T15:24:02.325Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-18T15:24:02.348Z","CAR","Event CarRequestedPower",""
"2023-04-18T15:24:02.349Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:02.360Z","EVSE","Event PowerOn",""
"2023-04-18T15:24:02.434Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:02.456Z","EVSE","DC power supply: switch ON called",""
"2023-04-18T15:24:02.508Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:02.612Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:02.696Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:02.835Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:02.884Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:02.967Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:03.082Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:03.155Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:03.247Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:03.350Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:03.454Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:03.537Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:03.630Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:03.651Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:24:03.651Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-18T15:24:03.737Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:03.778Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-18T15:24:03.841Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:03.920Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:04.044Z","CAR","V2G CableCheckReq",""
"2023-04-18T15:24:04.118Z","EVSE","V2G CableCheckRes",""
"2023-04-18T15:24:04.216Z","EVSE","DC power supply set: 391V/1A, requested was 391V/1A.",""
"2023-04-18T15:24:04.345Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:04.347Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:04.386Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:04.478Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:04.573Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:04.646Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:24:04.701Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:04.766Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:04.848Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:04.953Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:05.098Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:05.129Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:05.232Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:05.357Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:05.431Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:05.453Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 391, hack_bpt false",""
"2023-04-18T15:24:05.535Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:05.649Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-18T15:24:05.649Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:05.702Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:05.829Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:05.933Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:05.985Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:06.081Z","CAR","V2G PreChargeReq",""
"2023-04-18T15:24:06.220Z","EVSE","V2G PreChargeRes",""
"2023-04-18T15:24:06.325Z","CAR","V2G PowerDeliveryReq",""
