"2023-04-06T11:52:31.423Z","SYS","Session logging started.",""
"2023-04-06T11:52:31.424Z","EVSE","Session Started: EVConnected",""
"2023-04-06T11:52:32.427Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-06T11:52:32.744Z","EVSE","SLAC MATCHING",""
"2023-04-06T11:52:33.122Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-06T11:52:33.272Z","EVSE","EIM Authorization received",""
"2023-04-06T11:52:33.273Z","EVSE","Transaction Started (533.972 kWh)",""
"2023-04-06T11:52:33.275Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-06T11:52:33.326Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-06T11:52:33.450Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-06T11:52:34.089Z","EVSE","SLAC MATCHED",""
"2023-04-06T11:52:34.497Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-06T11:52:34.507Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-06T11:52:34.519Z","CAR","V2G SessionSetupReq",""
"2023-04-06T11:52:34.652Z","EVSE","V2G SessionSetupRes",""
"2023-04-06T11:52:34.683Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-06T11:52:34.714Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-06T11:52:34.734Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-06T11:52:34.825Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-06T11:52:34.983Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-06T11:52:34.986Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-06T11:52:34.990Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-06T11:52:35.093Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-06T11:52:35.114Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-06T11:52:35.176Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-06T11:52:35.553Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-06T11:52:35.639Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-06T11:52:35.642Z","EVSE","Start cable check...",""
"2023-04-06T11:52:35.642Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-06T11:52:35.643Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:35.761Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:35.763Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:35.833Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:35.844Z","EVSE","DC power supply: switch ON called",""
"2023-04-06T11:52:35.865Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.001Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.010Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.073Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.116Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.259Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.290Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.300Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.321Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.412Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.432Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.566Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.576Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.647Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.668Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.760Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.780Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.871Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:36.892Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:36.993Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.014Z","CAR","Event CarRequestedPower",""
"2023-04-06T11:52:37.015Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.116Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.137Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.270Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.280Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.301Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-06T11:52:37.393Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.404Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.455Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.486Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.588Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.609Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.690Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.711Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.802Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.822Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:37.914Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:37.934Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.036Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.067Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.158Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.179Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.281Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.301Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.301Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-06T11:52:38.404Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.436Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.559Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.570Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.641Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.662Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.733Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.754Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.855Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.876Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:38.968Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:38.988Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:39.079Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:39.100Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:39.202Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:39.222Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:39.293Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-06T11:52:39.294Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-06T11:52:39.315Z","EVSE","V2G CableCheckRes",""
"2023-04-06T11:52:39.347Z","CAR","V2G CableCheckReq",""
"2023-04-06T11:52:39.439Z","EVSE","V2G CableCheckRes",""
