"2023-03-30T11:00:22.660Z","SYS","Session logging started.",""
"2023-03-30T11:00:22.660Z","EVSE","Session Started: EVConnected",""
"2023-03-30T11:00:22.662Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T11:00:23.065Z","EVSE","SLAC MATCHING",""
"2023-03-30T11:00:24.093Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-03-30T11:00:24.244Z","EVSE","EIM Authorization received",""
"2023-03-30T11:00:24.245Z","EVSE","Transaction Started (307.167 kWh)",""
"2023-03-30T11:00:24.247Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-03-30T11:00:24.298Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-03-30T11:00:24.396Z","EVSE","SLAC MATCHED",""
"2023-03-30T11:00:24.512Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T11:00:24.839Z","CAR","V2G SupportedAppProtocolReq",""
"2023-03-30T11:00:24.849Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-03-30T11:00:24.871Z","CAR","V2G SessionSetupReq",""
"2023-03-30T11:00:24.933Z","EVSE","V2G SessionSetupRes",""
"2023-03-30T11:00:24.953Z","CAR","V2G ServiceDiscoveryReq",""
"2023-03-30T11:00:25.045Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-03-30T11:00:25.066Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-03-30T11:00:25.212Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-03-30T11:00:25.310Z","CAR","V2G ContractAuthenticationReq",""
"2023-03-30T11:00:25.314Z","EVSE","V2G ContractAuthenticationRes",""
"2023-03-30T11:00:25.316Z","CAR","V2G ContractAuthenticationReq",""
"2023-03-30T11:00:25.411Z","EVSE","V2G ContractAuthenticationRes",""
"2023-03-30T11:00:25.423Z","CAR","V2G ContractAuthenticationReq",""
"2023-03-30T11:00:25.559Z","EVSE","V2G ContractAuthenticationRes",""
"2023-03-30T11:00:25.922Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-03-30T11:00:25.987Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-03-30T11:00:26.008Z","EVSE","Start cable check...",""
"2023-03-30T11:00:26.008Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-03-30T11:00:26.029Z","CAR","V2G CableCheckReq",""
"2023-03-30T11:00:26.145Z","EVSE","V2G CableCheckRes",""
"2023-03-30T11:00:26.148Z","CAR","V2G CableCheckReq",""
"2023-03-30T11:00:26.189Z","EVSE","DC power supply: switch ON called",""
"2023-03-30T11:00:26.262Z","EVSE","V2G CableCheckRes",""
"2023-03-30T11:00:26.273Z","CAR","V2G CableCheckReq",""
"2023-03-30T11:00:26.335Z","EVSE","V2G CableCheckRes",""
"2023-03-30T11:00:26.356Z","CAR","V2G CableCheckReq",""
"2023-03-30T11:00:26.459Z","EVSE","V2G CableCheckRes",""
"2023-03-30T11:00:26.480Z","CAR","V2G CableCheckReq",""
"2023-03-30T11:00:26.574Z","EVSE","V2G CableCheckRes",""
"2023-03-30T11:00:26.596Z","CAR","V2G CableCheckReq",""
"2023-03-30T11:00:26.689Z","EVSE","V2G CableCheckRes",""
"2023-03-30T11:00:26.710Z","CAR","V2G CableCheckReq",""
"2023-03-30T11:00:26.844Z","EVSE","V2G CableCheckRes",""
"2023-03-30T11:00:26.847Z","CAR","V2G CableCheckReq",""
