"2023-04-14T12:46:53.183Z","SYS","Session logging started.",""
"2023-04-14T12:46:53.184Z","EVSE","Session Started: EVConnected",""
"2023-04-14T12:46:54.186Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:46:54.362Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T12:46:54.512Z","EVSE","EIM Authorization received",""
"2023-04-14T12:46:54.512Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T12:46:54.514Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T12:46:54.565Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T12:46:54.700Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:47:00.429Z","CAR","V2G SupportedAppProtocolReq","{
    "supportedAppProtocolReq": {
        "AppProtocol": [
            {
                "Priority": 2,
                "ProtocolNamespace": "urn:din:70121:2012:MsgDef",
                "SchemaID": 1,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            },
            {
                "Priority": 1,
                "ProtocolNamespace": "urn:iso:15118:2:2013:MsgDef",
                "SchemaID": 0,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            }
        ]
    }
}"
"2023-04-14T12:47:00.501Z","EVSE","V2G SupportedAppProtocolRes","{
    "supportedAppProtocolRes": {
        "ResponseCode": "OK_SuccessfulNegotiation",
        "SchemaID": 0
    }
}"
"2023-04-14T12:47:00.953Z","CAR","V2G SessionSetupReq","{
    "V2G_Message": {
        "Body": {
            "SessionSetupReq": {
                "EVCCID": "007DFA0643B4"
            }
        },
        "Header": {
            "SessionID": "00"
        }
    }
}"
"2023-04-14T12:47:01.242Z","EVSE","V2G SessionSetupRes","{
    "V2G_Message": {
        "Body": {
            "SessionSetupRes": {
                "EVSEID": "DE*PNX*E12345*1",
                "EVSETimeStamp": 1681476420,
                "ResponseCode": "OK_NewSessionEstablished"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:01.582Z","CAR","V2G ServiceDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryReq": {}
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:01.879Z","EVSE","V2G ServiceDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryRes": {
                "ChargeService": {
                    "FreeService": false,
                    "ServiceCategory": "EVCharging",
                    "ServiceID": 1,
                    "ServiceName": "AC_DC_Charging",
                    "SupportedEnergyTransferMode": {
                        "EnergyTransferMode": [
                            "DC_extended"
                        ]
                    }
                },
                "PaymentOptionList": {
                    "PaymentOption": [
                        "ExternalPayment"
                    ]
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:02.225Z","CAR","V2G PaymentServiceSelectionReq","{
    "V2G_Message": {
        "Body": {
