"2023-04-14T12:53:04.616Z","SYS","Session logging started.",""
"2023-04-14T12:53:04.616Z","EVSE","Session Started: EVConnected",""
"2023-04-14T12:53:05.618Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:53:05.807Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T12:53:05.957Z","EVSE","EIM Authorization received",""
"2023-04-14T12:53:05.958Z","EVSE","Transaction Started (549.365 kWh)",""
"2023-04-14T12:53:05.959Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T12:53:06.010Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T12:53:06.145Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:53:08.198Z","EVSE","SLAC MATCHING",""
"2023-04-14T12:53:08.765Z","EVSE","SLAC MATCHED",""
"2023-04-14T12:53:12.245Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-14T12:53:12.256Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-14T12:53:12.309Z","CAR","V2G SessionSetupReq",""
"2023-04-14T12:53:12.423Z","EVSE","V2G SessionSetupRes",""
"2023-04-14T12:53:12.505Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-14T12:53:12.568Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-14T12:53:12.717Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-04-14T12:53:12.768Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-04-14T12:53:12.936Z","CAR","V2G AuthorizationReq",""
"2023-04-14T12:53:12.955Z","EVSE","V2G AuthorizationRes",""
"2023-04-14T12:53:13.048Z","CAR","V2G AuthorizationReq",""
"2023-04-14T12:53:13.130Z","EVSE","V2G AuthorizationRes",""
"2023-04-14T12:53:13.288Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-14T12:53:13.368Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-14T12:53:14.054Z","EVSE","Start cable check...",""
"2023-04-14T12:53:14.054Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-14T12:53:14.085Z","CAR","V2G CableCheckReq",""
"2023-04-14T12:53:14.157Z","EVSE","V2G CableCheckRes",""
"2023-04-14T12:53:14.199Z","EVSE","DC power supply: switch ON called",""
"2023-04-14T12:53:14.321Z","CAR","V2G CableCheckReq",""
"2023-04-14T12:53:14.372Z","EVSE","V2G CableCheckRes",""
"2023-04-14T12:53:14.537Z","CAR","V2G CableCheckReq",""
"2023-04-14T12:53:14.610Z","EVSE","V2G CableCheckRes",""
"2023-04-14T12:53:14.734Z","CAR","V2G CableCheckReq",""
"2023-04-14T12:53:14.805Z","CAR","Event CarRequestedPower",""
"2023-04-14T12:53:14.816Z","EVSE","V2G CableCheckRes",""
"2023-04-14T12:53:14.928Z","CAR","V2G CableCheckReq",""
"2023-04-14T12:53:15.042Z","EVSE","V2G CableCheckRes",""
"2023-04-14T12:53:15.187Z","CAR","V2G CableCheckReq",""
"2023-04-14T12:53:15.259Z","EVSE","V2G CableCheckRes",""
"2023-04-14T12:53:15.373Z","CAR","V2G CableCheckReq",""
