"2023-04-14T12:48:02.295Z","SYS","Session logging started.",""
"2023-04-14T12:48:02.296Z","EVSE","Session Started: EVConnected",""
"2023-04-14T12:48:03.297Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:48:03.393Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T12:48:03.492Z","EVSE","EIM Authorization received",""
"2023-04-14T12:48:03.493Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T12:48:03.494Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T12:48:03.545Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T12:48:03.684Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:48:09.585Z","CAR","V2G SupportedAppProtocolReq","{
    "supportedAppProtocolReq": {
        "AppProtocol": [
            {
                "Priority": 2,
                "ProtocolNamespace": "urn:din:70121:2012:MsgDef",
                "SchemaID": 1,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            },
            {
                "Priority": 1,
                "ProtocolNamespace": "urn:iso:15118:2:2013:MsgDef",
                "SchemaID": 0,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            }
        ]
    }
}"
"2023-04-14T12:48:09.676Z","EVSE","V2G SupportedAppProtocolRes","{
    "supportedAppProtocolRes": {
        "ResponseCode": "OK_SuccessfulNegotiation",
        "SchemaID": 0
    }
}"
"2023-04-14T12:48:10.218Z","CAR","V2G SessionSetupReq","{
    "V2G_Message": {
        "Body": {
            "SessionSetupReq": {
                "EVCCID": "007DFA07D4FB"
            }
        },
        "Header": {
            "SessionID": "00"
        }
    }
}"
"2023-04-14T12:48:10.493Z","EVSE","V2G SessionSetupRes","{
    "V2G_Message": {
        "Body": {
            "SessionSetupRes": {
                "EVSEID": "DE*PNX*E12345*1",
                "EVSETimeStamp": 1681476490,
                "ResponseCode": "OK_NewSessionEstablished"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:10.869Z","CAR","V2G ServiceDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryReq": {}
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:11.175Z","EVSE","V2G ServiceDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryRes": {
                "ChargeService": {
                    "FreeService": false,
                    "ServiceCategory": "EVCharging",
                    "ServiceID": 1,
                    "ServiceName": "AC_DC_Charging",
                    "SupportedEnergyTransferMode": {
                        "EnergyTransferMode": [
                            "DC_extended"
                        ]
                    }
                },
                "PaymentOptionList": {
                    "PaymentOption": [
                        "ExternalPayment"
                    ]
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:11.556Z","CAR","V2G PaymentServiceSelectionReq","{
    "V2G_Message": {
        "Body": {
            "PaymentServiceSelectionReq": {
