"2023-03-30T09:25:58.879Z","SYS","Session logging started.",""
"2023-03-30T09:25:58.880Z","EVSE","Session Started: EVConnected",""
"2023-03-30T09:25:58.881Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T09:26:00.504Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-03-30T09:26:00.655Z","EVSE","EIM Authorization received",""
"2023-03-30T09:26:00.655Z","EVSE","Transaction Started (306.974 kWh)",""
"2023-03-30T09:26:00.656Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-03-30T09:26:00.707Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-03-30T09:26:00.887Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-03-30T09:26:02.400Z","EVSE","SLAC MATCHING",""
"2023-03-30T09:26:03.160Z","EVSE","SLAC MATCHED",""
"2023-03-30T09:26:10.602Z","CAR","V2G SupportedAppProtocolReq",""
"2023-03-30T09:26:10.613Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-03-30T09:26:10.666Z","CAR","V2G SessionSetupReq",""
"2023-03-30T09:26:10.769Z","EVSE","V2G SessionSetupRes",""
"2023-03-30T09:26:10.893Z","CAR","V2G ServiceDiscoveryReq",""
"2023-03-30T09:26:10.975Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-03-30T09:26:11.047Z","CAR","V2G PaymentServiceSelectionReq",""
"2023-03-30T09:26:11.119Z","EVSE","V2G PaymentServiceSelectionRes",""
"2023-03-30T09:26:11.306Z","CAR","V2G AuthorizationReq",""
"2023-03-30T09:26:11.315Z","EVSE","V2G AuthorizationRes",""
"2023-03-30T09:26:11.418Z","CAR","V2G AuthorizationReq",""
"2023-03-30T09:26:11.511Z","EVSE","V2G AuthorizationRes",""
"2023-03-30T09:26:11.645Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-03-30T09:26:11.716Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-03-30T09:26:12.413Z","EVSE","Start cable check...",""
"2023-03-30T09:26:12.413Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-03-30T09:26:12.445Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:12.509Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:12.602Z","EVSE","DC power supply: switch ON called",""
"2023-03-30T09:26:12.664Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:12.772Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:12.875Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:12.981Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:13.107Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:13.149Z","CAR","Event CarRequestedPower",""
"2023-03-30T09:26:13.171Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:13.296Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:13.378Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:13.512Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:13.605Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:13.728Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:13.833Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:13.950Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:14.012Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-03-30T09:26:14.055Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:14.169Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:14.262Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:14.409Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:14.480Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:14.614Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:14.706Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:14.840Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:14.975Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:15.015Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-03-30T09:26:15.016Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-03-30T09:26:15.047Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:15.140Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:15.279Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:15.402Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:15.486Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:15.621Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:15.652Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-03-30T09:26:15.726Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:15.849Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:15.944Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:16.026Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:16.149Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:16.242Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:16.366Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:16.458Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:16.592Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:16.721Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:16.828Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:16.931Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:17.023Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:17.126Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:17.249Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:17.352Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:17.465Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:17.557Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:17.744Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:17.796Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:17.961Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:18.056Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:18.152Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:18.224Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:18.348Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:18.450Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:18.564Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:18.666Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:18.793Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:18.885Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:19.009Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:19.123Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:19.279Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:19.331Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:19.466Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:19.550Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:19.717Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:19.799Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:19.892Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:19.985Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:20.120Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:20.214Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:20.338Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:20.442Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:20.558Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:20.664Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:20.769Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:20.861Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:20.984Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:21.088Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:21.211Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:21.303Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:21.427Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:21.519Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:21.653Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:21.769Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:21.872Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:21.966Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:22.102Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:22.185Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:22.308Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:22.412Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:22.534Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:22.627Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:22.772Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:22.896Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:23.020Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:23.071Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:23.186Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:23.289Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:23.423Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:23.506Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:23.640Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:23.755Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:23.848Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:23.940Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:24.075Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:24.220Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:24.312Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:24.384Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:24.508Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:24.611Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:24.737Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:24.841Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:24.944Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:25.047Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:25.161Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:25.265Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:25.414Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:25.509Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:25.602Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:25.707Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:25.862Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:25.927Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:26.053Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:26.148Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:26.272Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:26.365Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:26.489Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:26.583Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:26.710Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:26.825Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:26.930Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:27.034Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:27.169Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:27.283Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:27.377Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:27.470Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:27.593Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:27.728Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:27.843Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:27.916Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:28.051Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:28.167Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:28.249Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:28.353Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:28.510Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:28.624Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:28.728Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:28.781Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:28.904Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:29.007Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:29.152Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:29.224Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:29.348Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:29.451Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:29.575Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:29.668Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:29.792Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:29.885Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:30.021Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:30.105Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:30.229Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:30.364Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:30.457Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:30.571Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:30.664Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:30.756Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:30.890Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:30.984Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:31.107Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:31.222Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:31.338Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:31.466Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:31.566Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:31.700Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:31.772Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:31.866Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:31.990Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:32.085Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:32.209Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:32.312Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:32.425Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:32.560Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:32.654Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:32.769Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:32.874Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:32.959Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:33.084Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:33.198Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:33.311Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:33.404Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:33.540Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:33.622Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:33.746Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:33.838Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:34.027Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:34.131Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:34.195Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:34.288Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:34.403Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:34.540Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:34.633Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:34.727Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:34.851Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:34.935Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:35.069Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:35.186Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:35.282Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:35.427Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:35.521Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:35.614Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:35.718Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:35.822Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:35.957Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:36.074Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:36.198Z","CAR","V2G CableCheckReq",""
"2023-03-30T09:26:36.260Z","EVSE","V2G CableCheckRes",""
"2023-03-30T09:26:36.322Z","EVSE","DC power supply set: 389.70001220703125V/2A, requested was 389.70001220703125V/2A.",""
"2023-03-30T09:26:36.631Z","CAR","V2G PreChargeReq",""
"2023-03-30T09:26:36.635Z","EVSE","V2G PreChargeRes",""
"2023-03-30T09:26:36.637Z","CAR","V2G PreChargeReq",""
"2023-03-30T09:26:36.651Z","EVSE","V2G PreChargeRes",""
"2023-03-30T09:26:36.736Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 389.7, hack_bpt false",""
"2023-03-30T09:26:36.757Z","CAR","V2G PreChargeReq",""
"2023-03-30T09:26:36.893Z","EVSE","V2G PreChargeRes",""
"2023-03-30T09:26:37.022Z","CAR","V2G PowerDeliveryReq",""
"2023-03-30T09:26:37.074Z","EVSE","V2G PowerDeliveryRes",""
"2023-03-30T09:26:37.233Z","EVSE","DC power supply set: 408V/0A, requested was 408V/0A.",""
"2023-03-30T09:26:37.237Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-03-30T09:26:37.551Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:37.554Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:37.557Z","EVSE","DC power supply set: 408V/3.5999999046325684A, requested was 408V/3.5999999046325684A.",""
"2023-03-30T09:26:37.875Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:37.879Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:37.881Z","EVSE","DC power supply set: 408V/7.800000190734863A, requested was 408V/7.800000190734863A.",""
"2023-03-30T09:26:38.053Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:38.055Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:38.057Z","EVSE","DC power supply set: 408V/12.600000381469727A, requested was 408V/12.600000381469727A.",""
"2023-03-30T09:26:38.169Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:38.173Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:38.178Z","EVSE","DC power supply set: 408V/16.799999237060547A, requested was 408V/16.799999237060547A.",""
"2023-03-30T09:26:38.189Z","EVSE","Change HLC Limits: 10000W/24.509804A, target_voltage 408, hack_bpt false",""
"2023-03-30T09:26:38.302Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:38.304Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:38.333Z","EVSE","DC power supply set: 408V/21A, requested was 408V/21A.",""
"2023-03-30T09:26:38.421Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:38.424Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:38.545Z","EVSE","DC power supply set: 408V/24A, requested was 408V/24A.",""
"2023-03-30T09:26:38.643Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:38.646Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:38.735Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:38.829Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:38.977Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:39.040Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:39.164Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:39.280Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:39.393Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:39.486Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:39.631Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:39.746Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:39.829Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:39.922Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:40.046Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:40.202Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:40.279Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:40.402Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:40.485Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:40.587Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:40.754Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:40.817Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:40.932Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:41.057Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:41.152Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:41.266Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:41.372Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:41.487Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:41.591Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:41.685Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:41.808Z","CAR","V2G CurrentDemandReq",""
"2023-03-30T09:26:41.902Z","EVSE","V2G CurrentDemandRes",""
"2023-03-30T09:26:42.026Z","CAR","V2G CurrentDemandReq",""
